rankx   flowid   timex
99609459   0   10096900
9568059   2   10108900
99608079   0   10120900
9566679   2   10132900
99606699   0   10144900
9565299   2   10156900
99605319   0   10168900
9563919   2   10180900
99603939   0   10192900
9562539   2   10204900
99602559   0   10216900
9561159   2   10228900
99601179   0   10240900
9559779   2   10252900
99599799   0   10264900
9558399   2   10276900
9557019   2   10288900
9555639   2   10300900
9554259   2   10312900
9552879   2   10324900
9551499   2   10336900
9550119   2   10348900
9548739   2   10360900
9547359   2   10372900
99598419   0   10384900
9545979   2   10396900
99597039   0   10408900
9544599   2   10420900
99595659   0   10432900
9543219   2   10444900
99594279   0   10456900
9541839   2   10468900
99592899   0   10480900
9540459   2   10492900
99591519   0   10504900
9539079   2   10516900
99590139   0   10528900
9537699   2   10540900
99588759   0   10552900
99587379   0   10564900
9536319   2   10576900
9534939   2   10588900
9533559   2   10600900
9532179   2   10612900
9530799   2   10624900
9529419   2   10636900
9528039   2   10648900
9526659   2   10660900
9525279   2   10672900
9523899   2   10684900
9522519   2   10696900
9521139   2   10708900
9519759   2   10720900
9518379   2   10732900
49683979   1   10744900
49663279   1   10756900
49661899   1   10768900
9516999   2   10780900
49660519   1   10792900
99585999   0   10804900
49659139   1   10816900
99584619   0   10828900
49657759   1   10840900
9515619   2   10852900
49656379   1   10864900
99583239   0   10876900
49654999   1   10888900
9514239   2   10900900
49653619   1   10912900
99581859   0   10924900
49652239   1   10936900
9512859   2   10948900
49650859   1   10960900
99580479   0   10972900
49649479   1   10984900
9511479   2   10996900
49648099   1   11008900
99579099   0   11020900
49646719   1   11032900
9510099   2   11044900
49645339   1   11056900
99577719   0   11068900
49643959   1   11080900
9508719   2   11092900
49642579   1   11104900
99576339   0   11116900
49641199   1   11128900
9507339   2   11140900
99574959   0   11152900
9505959   2   11164900
99573579   0   11176900
99572199   0   11188900
9504579   2   11200900
9503199   2   11212900
9501819   2   11224900
9500439   2   11236900
9499059   2   11248900
9497679   2   11260900
9496299   2   11272900
9494919   2   11284900
9493539   2   11296900
99570819   0   11308900
9492159   2   11320900
99569439   0   11332900
9490779   2   11344900
99568059   0   11356900
9489399   2   11368900
99566679   0   11380900
9488019   2   11392900
99565299   0   11404900
9486639   2   11416900
99563919   0   11428900
9485259   2   11440900
99562539   0   11452900
9483879   2   11464900
99561159   0   11476900
99559779   0   11488900
9482499   2   11500900
9481119   2   11512900
9479739   2   11524900
9478359   2   11536900
9476979   2   11548900
9475599   2   11560900
9474219   2   11572900
9472839   2   11584900
9471459   2   11596900
9470079   2   11608900
9468699   2   11620900
9467319   2   11632900
9465939   2   11644900
9464559   2   11656900
9463179   2   11668900
49639819   1   11680900
49638439   1   11692900
49637059   1   11704900
9461799   2   11716900
49635679   1   11728900
99558399   0   11740900
49634299   1   11752900
99557019   0   11764900
49632919   1   11776900
9460419   2   11788900
49631539   1   11800900
99555639   0   11812900
49630159   1   11824900
9459039   2   11836900
49628779   1   11848900
99554259   0   11860900
49627399   1   11872900
49626019   1   11884900
9457659   2   11896900
49624639   1   11908900
99552879   0   11920900
49623259   1   11932900
9456279   2   11944900
49621879   1   11956900
99551499   0   11968900
49620499   1   11980900
9454899   2   11992900
49619119   1   12004900
99550119   0   12016900
49617739   1   12028900
9453519   2   12040900
49616359   1   12052900
99548739   0   12064900
49614979   1   12076900
9452139   2   12088900
99547359   0   12100900
9450759   2   12112900
99545979   0   12124900
99544599   0   12136900
99543219   0   12148900
9449379   2   12160900
9447999   2   12172900
9446619   2   12184900
9445239   2   12196900
9443859   2   12208900
9442479   2   12220900
9441099   2   12232900
9439719   2   12244900
9438339   2   12256900
99541839   0   12268900
9436959   2   12280900
99540459   0   12292900
9435579   2   12304900
99539079   0   12316900
9434199   2   12328900
99537699   0   12340900
9432819   2   12352900
99536319   0   12364900
9431439   2   12376900
99534939   0   12388900
9430059   2   12400900
99533559   0   12412900
9428679   2   12424900
99532179   0   12436900
99530799   0   12448900
9427299   2   12460900
9425919   2   12472900
9424539   2   12484900
9423159   2   12496900
9421779   2   12508900
9420399   2   12520900
9419019   2   12532900
9417639   2   12544900
9416259   2   12556900
9414879   2   12568900
9413499   2   12580900
9412119   2   12592900
9410739   2   12604900
9409359   2   12616900
9407979   2   12628900
49613599   1   12640900
49612219   1   12652900
49610839   1   12664900
9406599   2   12676900
9405219   2   12688900
49609459   1   12700900
99529419   0   12712900
49608079   1   12724900
99528039   0   12736900
49606699   1   12748900
9403839   2   12760900
49605319   1   12772900
99526659   0   12784900
49603939   1   12796900
9402459   2   12808900
49602559   1   12820900
99525279   0   12832900
49601179   1   12844900
49599799   1   12856900
49598419   1   12868900
9401079   2   12880900
49597039   1   12892900
99523899   0   12904900
49595659   1   12916900
9399699   2   12928900
49594279   1   12940900
99522519   0   12952900
49592899   1   12964900
9398319   2   12976900
49591519   1   12988900
99521139   0   13000900
49590139   1   13012900
9396939   2   13024900
49588759   1   13036900
99519759   0   13048900
49587379   1   13060900
9395559   2   13072900
99518379   0   13084900
9394179   2   13096900
99516999   0   13108900
99515619   0   13120900
99514239   0   13132900
9392799   2   13144900
9391419   2   13156900
9390039   2   13168900
9388659   2   13180900
9387279   2   13192900
9385899   2   13204900
9384519   2   13216900
9383139   2   13228900
9381759   2   13240900
99512859   0   13252900
99511479   0   13264900
9380379   2   13276900
99510099   0   13288900
9378999   2   13300900
99508719   0   13312900
9377619   2   13324900
99507339   0   13336900
9376239   2   13348900
99505959   0   13360900
9374859   2   13372900
99504579   0   13384900
9373479   2   13396900
99503199   0   13408900
9372099   2   13420900
99501819   0   13432900
99500439   0   13444900
9370719   2   13456900
