rankx   flowid   timex
8291559   2   15220900
8290179   2   15232900
8288799   2   15244900
8287419   2   15256900
8286039   2   15268900
8284659   2   15280900
8283279   2   15292900
8281899   2   15304900
8280519   2   15316900
8279139   2   15328900
8277759   2   15340900
8276379   2   15352900
8274999   2   15364900
8273619   2   15376900
8272239   2   15388900
8270859   2   15400900
8269479   2   15412900
8268099   2   15424900
8266719   2   15436900
8265339   2   15448900
8263959   2   15460900
8262579   2   15472900
8261199   2   15484900
8259819   2   15496900
8258439   2   15508900
8257059   2   15520900
8255679   2   15532900
8254299   2   15544900
8252919   2   15556900
8251539   2   15568900
8250159   2   15580900
8248779   2   15592900
8247399   2   15604900
8246019   2   15616900
8244639   2   15628900
8243259   2   15640900
8241879   2   15652900
8240499   2   15664900
8239119   2   15676900
8237739   2   15688900
8236359   2   15700900
8234979   2   15712900
8233599   2   15724900
8232219   2   15736900
8230839   2   15748900
8229459   2   15760900
8228079   2   15772900
8226699   2   15784900
8225319   2   15796900
8223939   2   15808900
8222559   2   15820900
8221179   2   15832900
8219799   2   15844900
8218419   2   15856900
8217039   2   15868900
8215659   2   15880900
8214279   2   15892900
8212899   2   15904900
8211519   2   15916900
8210139   2   15928900
8208759   2   15940900
8207379   2   15952900
8205999   2   15964900
8203239   2   15976900
8201859   2   15988900
8200479   2   16000900
8199099   2   16012900
8197719   2   16024900
8196339   2   16036900
8194959   2   16048900
8193579   2   16060900
8192199   2   16072900
8190819   2   16084900
8189439   2   16096900
8188059   2   16108900
8186679   2   16120900
8185299   2   16132900
8183919   2   16144900
8182539   2   16156900
8181159   2   16168900
8179779   2   16180900
8178399   2   16192900
8177019   2   16204900
8175639   2   16216900
8174259   2   16228900
8172879   2   16240900
8171499   2   16252900
8170119   2   16264900
8168739   2   16276900
8167359   2   16288900
8165979   2   16300900
8164599   2   16312900
8163219   2   16324900
8161839   2   16336900
8160459   2   16348900
8159079   2   16360900
8157699   2   16372900
8156319   2   16384900
8154939   2   16396900
8153559   2   16408900
8152179   2   16420900
8150799   2   16432900
8149419   2   16444900
8148039   2   16456900
8146659   2   16468900
8145279   2   16480900
8143899   2   16492900
8142519   2   16504900
8141139   2   16516900
8204619   2   16528900
49965499   1   16540900
49964119   1   16552900
8139759   2   16564900
8138379   2   16576900
8136999   2   16588900
8135619   2   16600900
8134239   2   16612900
8132859   2   16624900
8131479   2   16636900
8130099   2   16648900
